Season,Year,Month,NoDaysInMonth,AverageDailyVisits
dry,1995, 6,2,3.0
dry,1995, 7,3,3.33
dry,1995, 8,10,9.9
dry,1995, 9,4,13.5
wet,1995,10,5,15.0
wet,1995,11,2,4.0
wet,1995,12,2,9.5
wet,1996, 1,3,2.33
wet,1996, 2,3,9.33
wet,1996, 3,3,13.33
dry,1996, 4,5,23.0
dry,1996, 5,6,22.33
dry,1996, 6,6,33.83
dry,1996, 7,5,37.4
dry,1996, 8,8,20.5
dry,1996, 9,7,15.29
wet,1996,10,5,17.2
wet,1996,11,7,21.14
wet,1996,12,4,33.0
wet,1997, 1,7,12.43
wet,1997, 2,7,14.86
wet,1997, 3,6,21.5
dry,1997, 4,8,33.0
dry,1997, 5,6,11.33
dry,1997, 6,1,8.0
