Year,Month,InteractionTurnover,BeeTurnover,PlantTurnover,SpeciesTurnover,B_os,B_st
1995,6,1.0,0.8,1.0,0.89474,0,1.0
1995,7,1.0,0.74194,0.68,0.71429,1.0,0.0
1995,8,1.0,0.54167,0.65714,0.59036,1.0,0.0
1995,9,1.0,0.65854,0.65714,0.65789,1.0,0.0
1995,10,1.0,0.76,0.81818,0.78723,1.0,0.0
1995,11,1.0,0.85714,0.71429,0.80952,0,1.0
1995,12,1.0,0.84615,0.66667,0.78947,0,1.0
1996,1,1.0,0.92308,1.0,0.95122,0,1.0
1996,2,1.0,0.76,0.82609,0.78082,1.0,0.0
1996,3,0.95918,0.57746,0.53846,0.56701,0.84,0.11918
1996,4,1.0,0.49451,0.6,0.52672,1.0,0.0
1996,5,0.94949,0.48,0.54717,0.50327,0.8,0.14949
1996,6,0.97814,0.46809,0.4902,0.47586,0.9375,0.04064
1996,7,0.97436,0.50588,0.6,0.53846,0.87879,0.09557
1996,8,0.9726,0.52941,0.85366,0.63492,0.71429,0.25831
1996,9,1.0,0.5122,0.86667,0.60714,1.0,0.0
1996,10,0.98601,0.56436,0.72414,0.6,0.90909,0.07692
1996,11,1.0,0.5,0.67568,0.5414,1.0,0.0
1996,12,1.0,0.56701,0.76471,0.63514,1.0,0.0
1997,1,0.95522,0.53086,0.60656,0.56338,0.83333,0.12189
1997,2,0.98788,0.62791,0.61404,0.62238,0.91304,0.07484
1997,3,0.99167,0.45614,0.59322,0.50289,0.96078,0.03089
1997,4,1.0,0.51456,0.6,0.5443,1.0,0.0
1997,5,1.0,0.69231,0.84615,0.75385,1.0,0.0
