 ,x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value,MCS_pvalues
0,Bst,IntTurnover,0.48571000000000003,0.32871999999999996,-0.9,0.03739,-0.02727,0.9365600000000001,0.06975
1,Bos,IntTurnover,-0.23190999999999998,0.65837,1.0,0.0,0.22830999999999999,0.49953000000000003,0.73562
2,SpeciesTurnovers,IntTurnover,0.6,0.20800000000000002,0.9,0.03739,0.75455,0.00728,0.03823
3,BeeTurnovers,IntTurnover,-0.14286,0.78717,0.7,0.18812,0.27335,0.41603999999999997,0.63377
4,PlantTurnovers,IntTurnover,0.65714,0.15617,0.9,0.03739,0.71818,0.0128,0.02444
5,Bos,Bst,-0.92763,0.007670000000000001,-0.9,0.03739,-0.9178200000000001,7e-05,0.0
6,SpeciesTurnovers,Bst,0.7714300000000001,0.0724,-0.7,0.18812,0.37273,0.25893,0.54489
7,BeeTurnovers,Bst,0.71429,0.11079000000000001,-0.4,0.50463,0.3918,0.23338000000000003,0.48463
8,PlantTurnovers,Bst,0.65714,0.15617,-0.7,0.18812,0.46363999999999994,0.1509,0.27325
9,SpeciesTurnovers,Bos,-0.57977,0.22778,0.9,0.03739,-0.15525,0.64852,0.19896
12,BeeTurnovers,SpeciesTurnovers,0.6,0.20800000000000002,0.9,0.03739,0.60137,0.050339999999999996,0.92657
13,PlantTurnovers,SpeciesTurnovers,0.94286,0.0048,1.0,0.0,0.9636399999999999,0.0,0.00302
14,PlantTurnovers,BeeTurnovers,0.37143000000000004,0.46848,0.9,0.03739,0.45558000000000004,0.15907000000000002,0.2513
